name,snid_z,snid_z_std
2021fzq,0.1123,0.0055
1998dh,0.0053,0.0031
iPTF14axv,0.0879,0.0021
OGLE-2015-SN-017,0.0942,0.0062
ASASSN-15cb,0.048,0.0051
PTF09wn,0.1424,0.0066
PTF12ejg,0.1641,0.0056
PTF10vty,0.0787,0.0019
LSQ14qz,0.1043,0.0029
2014dl,0.1784,0.0048
OGLE-2013-SN-126,0.0607,0.003
2000fa,0.0169,0.0048
CSS151109-101502+074830,0.0291,0.0044
PTF11xe,0.1421,0.0058
MASTERJ110457.10+300122.0,0.0306,0.0009
2006rz,0.0311,0.0013
PTF12elc,0.1158,0.0054
1994D,0.003,0.0057
2004ab,0.0123,0.0066
PTF10yzu,0.1055,0.0044
iPTF13ajv,0.0888,0.0041
2001da,0.0213,0.006
LSQ14fep,0.0606,0.0033
2002eb,0.0288,0.0035
PTF11jgq,0.14,0.0056
PTF12mdr,0.1107,0.0043
PTF12ivi,0.1576,0.0035
2006lu,0.0121,0.005
PTF12fuu,0.0402,0.008
LSQ13doj,0.0593,0.0019
2008bf,0.0087,0.0125
PTF10qqw,0.1188,0.0083
1996bl,0.0303,0.0017
OGLE17ojj,0.5614,0.003
PS1-14lz,0.0755,0.0054
2007rf,0.2918,0.0049
PTF11arg,0.1095,0.0043
1999Q,0.4637,0.007
2003kp,0.6422,0.0087
SNLS-08D3dc,0.7908,0.0039
PTF11ai,0.0978,0.0056
iPTF15fy,0.0852,0.0033
2006bu,0.0815,0.0042
PTF10gtf,0.1018,0.0059
PTF10cod,0.1211,0.0027
ASASSN-14jg,0.0158,0.0057
2006dh,0.0587,0.0035
PTF10rct,0.0743,0.0034
OGLE16fsn,0.0832,0.0038
PS15cwz,0.0454,0.0048
2000dn,0.0353,0.0032
PTF09fqj,0.0903,0.0036
PTF12gwj,0.1909,0.0054
iPTF15acc,0.1427,0.0053
2004av,0.0292,0.0036
PTF10trw,0.1727,0.0049
2006po,0.1797,0.0085
PTF11dwn,0.1792,0.003
ASASSN-15ol,0.0204,0.0021
PTF11kkd,0.0815,0.0028
2008dt,0.0347,0.0039
PTF11rkd,0.1431,0.0074
PTF10bym,0.1385,0.0037
PS15ctg,0.0786,0.0056
1997fc,0.0583,0.0021
PTF10nyt,0.1112,0.0054
LSQ12cdl,0.1116,0.0056
PTF10wov,0.0989,0.0051
