name,snid_z,snid_z_std
SNLS-08D3gu,0.7895,0.0039
asassn-15mp,0.0434,0.0078
SNLS-03D4cn,0.8338,0.006
2004gs,0.0239,0.0118
PTF12gqy,0.1002,0.0025
PTF10xsk,0.1114,0.0035
PTF10acdh,0.0691,0.0024
ESSENCEp454,0.6841,0.0087
SNLS-07D1bl,0.6366,0.0024
2006ej,0.0157,0.0023
2007is,0.0299,0.0047
OGLE15kk,0.0806,0.0047
LSQ12brx,0.0596,0.0055
PSNJ21312375+4336312,0.0226,0.0028
PTF11cve,0.1266,0.0059
PTF11daj,0.11,0.0063
2008C,0.0031,0.0041
PTF11ri,0.1428,0.0058
PTF10fe,0.1864,0.0042
PTF11bqc,0.0722,0.0029
PTF11gin,0.1604,0.0026
LSQ15bo,0.0511,0.0056
2002gc,0.031,0.006
1998aq,0.0052,0.0029
2000al,0.191,0.0064
2006al,0.0697,0.0049
PTF11gjo,0.221,0.0057
CSS140424-123226+154840,0.1684,0.0062
PTF10hmd,0.1738,0.006
2007lm,0.2193,0.0061
asassn-15lu,0.0377,0.0049
SNLS-07D2ah,0.7592,0.0083
LSQ14baz,0.068,0.0029
PTF12vr,0.1364,0.0025
PTF09djc,0.0323,0.0065
2007tf,0.4101,0.0055
2002iu,0.1164,0.0041
PTF10nc,0.1119,0.0064
PTF11qrv,0.0828,0.0038
PTF10feg,0.1153,0.007
1992A,0.004,0.0063
PTF12dgy,0.1814,0.0013
2007je,0.1636,0.0047
SNLS-04D3cp,0.4404,0.0074
2005bg,0.0014,0.0016
OGLE-2012-SN-051,0.1137,0.0068
LSQ13dqu,0.1147,0.0056
2002cu,0.0161,0.0061
2007kk,0.0361,0.0042
LSQ14zz,0.0462,0.0029
CSS151109-032647-163538,0.1314,0.003
psnj0252+4656,0.0291,0.001
2001br,0.0198,0.0049
PTF12ta,0.1596,0.0045
iPTF15dnt,0.0383,0.0055
2002fb,0.0163,0.0038
LSQ12bxp,0.1135,0.006
2006oa,0.0846,0.0487
LSQ12gpw,0.0602,0.0056
ZTF19acyihlk,0.0698,0.0046
LSQ13cmf,0.0663,0.0033
PTF11alg,0.2959,0.0016
PTF10one,0.1007,0.0052
PTF10hne,0.0905,0.006
PTF10abjm,0.044,0.0043
2007on,0.0212,0.0484
SNLS-06D1bo,0.6144,0.0047
2002ar,0.0319,0.005
2007qp,0.2673,0.004
LSQ13cms,0.1247,0.0025
2007ux,0.0215,0.0151
ASASSN-15tt,0.0335,0.005
2003it,0.0259,0.0038
PTF11opu,0.0713,0.0068
1995ap,0.3127,0.0076
PTF11kjr,0.0474,0.0102
2002cs,0.0068,0.0056
iPTF14fyx,0.1344,0.0068
PTF11qzq,0.0596,0.0051
2019gwg,0.0535,0.0
2021ekf,0.1539,0.0015
PTF09atw,0.0518,0.0042
PTF10rlq,0.1003,0.003
LSQ16ab,0.0727,0.0057
PTF10lee,0.1279,0.0085
2003U,0.0274,0.0039
PTF10zau,0.075,0.0044
PTF10wlw,0.0351,0.0024
2006gj,0.023,0.0142
2016gcl,0.0166,0.0017
SNLS-05D4av,0.5023,0.0069
PS16dpm,0.1254,0.0083
2002cd,-0.0024,0.005
PTF12ccz,0.0508,0.0044
PTF11fjw,0.1941,0.0046
2003lf,0.4078,0.003
iPTF15czu,0.1757,0.0035
LSQ13cjy,0.075,0.0092
PTF10rbp,0.08,0.0058
SDSS-SN-015,0.1284,0.0015
2006bt,0.0346,0.0059
LSQ14gcs,0.1631,0.0054
LSQ14ba,0.0758,0.0044
1995ac,0.196,0.0083
1999cp,0.0083,0.0058
LSQ13dbx,0.0815,0.0036
PTF10hei,0.1001,0.0053
PTF12gvd,0.1275,0.004
2020oyd,0.0713,0.0
2009Y,-0.0049,0.0042
OGLE-2013-SN-073,0.0997,0.0077
LSQ15fg,0.1002,0.0066
ASASSN-14kq,0.0369,0.0042
1989M,0.0038,0.0051
PTF10hky,0.1242,0.0032
2006cp,0.0114,0.0056
PTF10accd,0.0382,0.0086
2006dy,0.0102,0.0028
PTF10jwx,0.0698,0.0046
2001ic,0.5277,0.0049
2001gc,0.0063,0.0063
PTF12jgl,0.091,0.0097
2005ku,-0.0039,0.0036
PS1-13eao,0.0398,0.0052
PTF10ivt,0.1414,0.0038
2001de,0.0396,0.0051
ASASSN-15ic,0.0339,0.0066
PTF10yxj,0.1477,0.0049
iPTF15cpp,0.0615,0.0054
2007O,0.0436,0.0049
SNLS-06D3cn,0.2282,0.0035
2007rq,0.2569,0.0064
LSQ15y,0.0709,0.0026
LSQ14efh,0.13,0.0035
PTF11lih,0.0736,0.0042
2008hu,0.0474,0.0028
SNLS-03D1dj,0.3964,0.0043
PTF10jh,0.0442,0.0046
OGLE-2014-SN-058,0.1555,0.0049
PTF10zgo,0.0545,0.0042
LSQ14gov,0.0914,0.0069
2006dw,0.0277,0.0038
LSQ14ip,0.0518,0.0045
2001ah,0.2026,0.0055
2005M,0.0247,0.0105
2007N,0.0182,0.0091
PTF11pg,0.0289,0.0058
PTF11aii,0.1216,0.0028
LSQ15bon,0.0606,0.0026
SNHiTS15J,0.114,0.0062
SNLS-05D1if,0.7693,0.009
SNLS-05D2mp,0.3428,0.0059
2008hr,0.0843,0.0035
PS15abb,0.1112,0.0026
iPTF15abz,0.1116,0.0049
2004bv,0.1513,0.0055
1999gm,0.0494,0.0059
2008cf,0.0461,0.0016
PTF10nlg,0.0542,0.0066
PTF12art,0.0566,0.0041
iPTF13dkj,0.0317,0.0068
1996ab,0.1247,0.0012
PTF10qku,0.1208,0.0043
SNLS-06D1du,0.2371,0.0022
SNLS-06D2iz,0.1377,0.0037
PSNJ13471211-2422171,0.0151,0.0051
PTF12mfg,0.0901,0.003
2003hs,0.051,0.0051
PTF10glo,0.0795,0.0055
iPTF15cqe,0.1837,0.0026
PTF11bas,0.0759,0.007
2009av,0.0569,0.0017
LSQ15st,0.0666,0.0
1998ef,0.0135,0.0043
OGLE-2013-SN-156,0.142,0.0064
OGLE-2014-SN-153,0.086,0.0036
PTF12dhv,0.1409,0.0077
PTF11gpb,0.1522,0.0049
PSNJ12533306+2742517,0.0926,0.0043
PTF11czq,0.0585,0.004
2007al,0.0125,0.0064
ASASSN-15al,0.0314,0.0014
1999M,0.4917,0.0084
PTF11ogy,0.0998,0.0029
2007ql,0.2233,0.0021
LSQ13cki,0.1145,0.0044
SNLS-04D4ic,0.6847,0.0067
PTF11eid,0.2054,0.0015
PTF10oum,0.1128,0.0052
LSQ14eeu,0.1636,0.0034
2021aazx,0.0886,0.0
2005hf,0.0485,0.0053
PTF10xxw,0.1381,0.0023
PTF10gsx,0.2956,0.0032
2003ek,0.0366,0.0047
ESSENCEm138,0.5786,0.0071
2003lm,0.4117,0.0033
PTF12dhl,0.0604,0.0034
2004hq,0.6706,0.0057
PTF09fqn,0.1536,0.005
PTF10zak,0.0441,0.005
ESSENCEn278,0.3082,0.005
LSQ13beu,0.0689,0.0009
iPTF13dad,0.0866,0.0041
2021kzx,0.0827,0.0032
PTF11apk,0.0364,0.0042
2008dr,0.0368,0.0057
CSS150124-114309+192629,0.0602,0.0039
2005el,0.0134,0.0069
2006kf,0.0131,0.0115
LSQ14vu,0.1378,0.0068
LSQ12cbo,0.1286,0.0058
2007px,0.1087,0.0054
2002hu,0.0398,0.0031
2002ck,0.0341,0.004
LSQ13byn,0.1002,0.003
PTF12ibh,0.1045,0.0035
2007ax,0.0057,0.0097
2002kf,0.021,0.0052
2006eq,0.049,0.0022
SNLS-07D3dj,0.4502,0.0061
1999ej,0.0194,0.0048
2017hxo,0.0594,0.0011
SNLS-03D4cj,0.4478,0.0046
iPTF15bgx,0.031,0.0043
PTF10ddv,0.1176,0.0024
1998V,0.0184,0.0026
PTF11kqv,0.1028,0.0021
CSS160129-074030+105600,0.0655,0.0026
2001G,0.0136,0.0018
PTF10duz,0.0606,0.001
PTF10xtu,0.1073,0.0049
PTF10vh,0.0741,0.0085
PTF12ebv,0.133,0.0044
LSQ15ci,0.0604,0.0034
PTF09gxh,0.1476,0.0037
2005mc,0.0225,0.0039
2007cg,0.0329,0.0042
OGLE-2014-SN-016,0.0721,0.0038
2000cp,0.0387,0.005
PTF11gcd,0.1567,0.0062
1999ee,0.0004,0.0063
2003fa,0.143,0.0609
PTF10acdc,0.1327,0.0052
PTF10got,0.0807,0.0064
ASASSN-14jc,0.0125,0.0037
PTF10gkl,0.1287,0.0052
PTF10abou,0.1365,0.0049
LSQ14bx,0.174,0.004
iPTF13dud,0.0523,0.0047
Gaia15agj,0.0401,0.0007
SNLS-06D3ed,0.4102,0.0058
1999gd,0.0233,0.0047
2007mk,0.1783,0.0071
PTF10yer,0.0543,0.0049
ASASSN-14lw,0.0147,0.0
2002do,0.0185,0.0025
